#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Stage,Legendary
0,Metapod,Bug,,205,50,20,55,25,25,30,2,FALSE
1,Butterfree,Bug,Flying,395,60,45,50,90,80,70,3,FALSE
2,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,FALSE
3,Kakuna,Bug,Poison,205,45,25,50,25,25,35,2,FALSE
4,Beedrill,Bug,Poison,395,65,90,40,45,80,75,3,FALSE
5,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,FALSE
6,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,2,FALSE
7,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,3,FALSE
8,Rattata,Normal,,253,30,56,35,25,35,72,1,FALSE
9,Raticate,Normal,,413,55,81,60,50,70,97,2,FALSE
